Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
86,Exit Long,Exit Long,2020-06-02 21:00,226.41,12.283,-91.88,-3.2,-4514.50,-0.1,244.55,8.51,91.88,3.2
87,Entry Long,Entry Long,2020-05-31 23:00,233.72,12.2921,-89.86,-3.13,-4604.35,-0.09,246.83,8.59,89.86,3.13
87,Exit Long,Exit Long,2020-06-02 21:00,226.41,12.2921,-89.86,-3.13,-4604.35,-0.09,246.83,8.59,89.86,3.13
88,Entry Long,Entry Long,2020-06-01 07:00,231.56,12.3918,-63.82,-2.22,-4668.17,-0.07,275.59,9.6,63.82,2.22
88,Exit Long,Exit Long,2020-06-02 21:00,226.41,12.3918,-63.82,-2.22,-4668.17,-0.07,275.59,9.6,63.82,2.22
89,Entry Long,Entry Long,2020-06-02 22:00,234.14,12.2048,35.76,1.25,-4632.41,0.04,196.99,6.89,96.91,3.39
89,Exit Long,Entry Short,2020-06-12 16:00,237.07,12.2048,35.76,1.25,-4632.41,0.04,196.99,6.89,96.91,3.39
90,Entry Long,Entry Long,2020-06-02 23:00,233.63,12.24,42.11,1.47,-4590.30,0.04,203.80,7.13,90.94,3.18
90,Exit Long,Entry Short,2020-06-12 16:00,237.07,12.24,42.11,1.47,-4590.30,0.04,203.80,7.13,90.94,3.18
91,Entry Long,Entry Long,2020-06-04 17:00,240.74,11.9011,-43.68,-1.52,-4633.98,-0.05,113.54,3.96,173.04,6.04
91,Exit Long,Entry Short,2020-06-12 16:00,237.07,11.9011,-43.68,-1.52,-4633.98,-0.05,113.54,3.96,173.04,6.04
92,Entry Long,Entry Long,2020-06-04 18:00,240.04,11.9327,-35.44,-1.24,-4669.42,-0.04,122.19,4.27,165.15,5.77
92,Exit Long,Entry Short,2020-06-12 16:00,237.07,11.9327,-35.44,-1.24,-4669.42,-0.04,122.19,4.27,165.15,5.77
93,Entry Long,Entry Long,2020-06-06 05:00,240.67,11.9043,-42.86,-1.5,-4712.28,-0.04,114.40,3.99,172.26,6.01
93,Exit Long,Entry Short,2020-06-12 16:00,237.07,11.9043,-42.86,-1.5,-4712.28,-0.04,114.40,3.99,172.26,6.01
94,Entry Short,Entry Short,2020-06-12 16:00,237.07,12.059,-60.54,-2.12,-4772.81,-0.06,226.71,7.93,118.42,4.14
94,Exit Short,Entry Long,2020-06-23 09:00,242.09,12.059,-60.54,-2.12,-4772.81,-0.06,226.71,7.93,118.42,4.14
95,Entry Short,Entry Short,2020-06-13 16:00,236.84,12.0712,-63.37,-2.22,-4836.19,-0.07,224.16,7.84,121.32,4.24
95,Exit Short,Entry Long,2020-06-23 09:00,242.09,12.0712,-63.37,-2.22,-4836.19,-0.07,224.16,7.84,121.32,4.24
96,Entry Short,Entry Short,2020-06-13 17:00,236.95,12.0642,-62.01,-2.17,-4898.20,-0.07,225.36,7.88,119.92,4.19
96,Exit Short,Entry Long,2020-06-23 09:00,242.09,12.0642,-62.01,-2.17,-4898.20,-0.07,225.36,7.88,119.92,4.19
97,Entry Short,Entry Short,2020-06-13 22:00,237.78,12.0194,-51.80,-1.81,-4950.00,-0.05,234.50,8.21,109.50,3.83
97,Exit Short,Entry Long,2020-06-23 09:00,242.09,12.0194,-51.80,-1.81,-4950.00,-0.05,234.50,8.21,109.50,3.83
